t_ms,ax_g,ax_lpf_g
5633,-0.000,-0.000
5639,0.001,0.000
5645,0.001,0.001
5652,-0.001,-0.001
5657,-0.001,-0.001
5663,0.000,-0.000
5669,0.001,0.000
5676,-0.001,-0.001
5682,0.000,-0.000
5689,-0.001,-0.001
5695,0.001,0.000
5700,-0.000,-0.000
5706,0.001,0.001
5712,-0.001,-0.001
5719,-0.001,-0.001
5724,-0.001,-0.001
5730,0.000,-0.000
5736,0.000,0.000
5743,-0.000,-0.000
5749,0.000,-0.000
5754,-0.001,-0.001
5760,-0.000,-0.000
5767,0.001,0.000
5772,0.001,0.001
5778,-0.002,-0.002
5784,0.000,-0.000
5793,0.001,0.000
5798,-0.001,-0.001
5804,-0.001,-0.001
5811,0.001,0.000
5816,-0.002,-0.002
5822,-0.000,-0.001
5829,-0.001,-0.001
5835,-0.001,-0.001
5840,-0.000,-0.001
5846,0.000,-0.000
5852,-0.000,-0.000
5859,0.001,0.000
5864,0.001,0.001
5870,0.001,0.001
5876,0.001,0.001
5883,0.001,0.001
5889,0.001,0.001
5894,0.001,0.001
5950,0.001,0.001
5955,0.002,0.002
5961,0.001,0.001
5967,-0.001,-0.001
5974,-0.000,-0.000
5979,-0.000,-0.000
5985,-0.000,-0.000
5991,0.001,0.001
5998,-0.000,-0.000
6003,-0.002,-0.002
6009,-0.000,-0.001
6015,0.000,-0.000
6022,0.001,0.000
6027,-0.000,-0.000
6033,-0.002,-0.002
6039,-0.000,-0.001
6046,-0.000,-0.000
6051,-0.001,-0.001
6057,-0.001,-0.001
6063,0.001,0.001
6070,-0.001,-0.001
6076,0.000,-0.000
6081,-0.001,-0.001
6087,0.001,0.001
6095,0.001,0.001
6101,0.000,0.000
6107,0.001,0.001
6114,0.000,0.000
6119,-0.002,-0.002
6125,0.001,0.001
6131,0.000,0.000
6138,-0.002,-0.002
6143,-0.001,-0.001
6149,0.001,0.001
6155,0.000,0.000
6162,-0.003,-0.003
6167,0.002,0.002
6173,-0.003,-0.002
6179,-0.001,-0.002
6186,-0.000,-0.001
6191,-0.000,-0.000
6197,0.001,0.001
6203,0.001,0.001
6210,-0.002,-0.002
6215,-0.002,-0.002
6221,0.001,0.001
6227,0.001,0.001
6234,0.002,0.002
6239,0.003,0.003
6245,-0.000,-0.000
6251,0.000,0.000
6258,0.001,0.000
6263,0.002,0.002
6269,0.001,0.001
6275,-0.001,-0.001
6282,-0.003,-0.003
6291,0.001,0.001
6296,-0.003,-0.003
6302,-0.001,-0.001
6309,0.001,0.001
6315,0.002,0.002
6320,0.000,0.000
6326,0.002,0.002
6332,0.002,0.002
6339,-0.001,-0.001
6344,0.001,0.001
6350,0.000,0.000
6356,0.001,0.001
6364,0.000,0.000
6370,0.001,0.000
6376,0.001,0.001
6383,-0.001,-0.001
6389,0.000,-0.000
6394,0.000,0.000
6400,-0.001,-0.001
6407,0.000,-0.000
6412,0.001,0.000
6418,-0.000,-0.000
6424,-0.002,-0.002
6431,-0.001,-0.001
6436,0.001,0.000
6442,0.002,0.002
6449,0.000,0.000
6455,0.000,0.000
