t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg
4280,0,0,1000,-0.02,0.042
4287,-1,-3,999,-0.188,0.098
4292,0,0,1001,0.036,0.014
4298,1,1,998,0.064,-0.07
4304,0,1,999,0.092,-0.014
4311,1,-1,999,-0.104,-0.098
4316,0,-2,998,-0.132,-0.042
4322,-1,0,999,-0.02,0.07
4331,0,0,999,0.008,0.014
4337,1,0,998,-0.048,-0.098
4343,0,0,999,0.008,-0.014
4350,0,1,1001,0.063,0.014
4355,1,0,998,-0.048,-0.07
4361,0,-1,1001,-0.104,0.042
4367,0,3,999,0.175,0.042
4374,1,0,1000,0.036,-0.07
4379,-1,0,1000,-0.048,0.07
4385,0,1,1001,0.063,0.042
4391,1,0,999,-0.02,-0.098
4398,-1,-2,999,-0.16,0.098
4403,-1,0,1000,-0.02,0.098
4409,-1,0,999,0.036,0.07
4415,-1,-3,998,-0.188,0.07
4422,-1,1,1000,0.064,0.098
4427,0,0,999,-0.02,0.014
4433,0,-2,1000,-0.16,-0.042
4439,-1,-3,999,-0.188,0.07
4446,1,0,999,0.036,-0.07
4451,0,0,1000,-0.02,-0.042
4457,0,0,1001,-0.048,0.042
4463,-1,0,999,-0.048,0.098
4470,0,-1,999,-0.076,-0.014
4475,-1,0,999,-0.048,0.07
4481,-1,0,998,-0.02,0.07
4487,-1,-1,1000,-0.076,0.07
4494,-1,-1,999,-0.076,0.098
4503,0,0,1001,0.008,0.014
4509,0,0,1000,-0.048,-0.014
4515,-1,0,998,-0.02,0.098
4522,1,-1,998,-0.104,-0.07
4527,0,0,1000,-0.048,0.014
4533,1,0,999,0.036,-0.098
4539,0,0,1000,-0.02,-0.042
4546,0,0,999,0.008,0.042
4552,1,1,999,0.092,-0.07
4558,-1,1,1001,0.063,0.098
4564,1,0,999,0.008,-0.07
4572,0,0,999,-0.048,0.014
4577,0,1,999,0.092,-0.014
4583,-2,0,1000,-0.02,0.154
4590,0,0,1001,0.008,0.042
4595,0,0,999,-0.048,0.014
4601,0,-3,1002,-0.216,0.014
4607,0,-2,1000,-0.16,0.042
4614,-2,0,1000,-0.048,0.154
4619,0,0,1000,-0.02,-0.014
4625,-3,0,998,-0.02,0.21
4631,0,0,999,0.036,0.042
4638,-2,0,1001,0.036,0.126
4643,-2,2,999,0.147,0.126
4649,-1,0,999,0.036,0.07
4655,0,0,1000,0.008,-0.014
4662,0,0,1000,0.008,0.014
4667,1,0,997,-0.02,-0.07
4673,1,0,999,-0.048,-0.098
4679,0,0,1001,0.008,-0.042
4686,0,0,999,0.008,0.014
4692,0,0,997,0.008,-0.042
4698,1,-1,999,-0.076,-0.07
4705,1,-1,1000,-0.104,-0.098
4710,-1,-1,1001,-0.104,0.098
4716,2,0,999,-0.048,-0.154
4722,1,0,997,0.008,-0.098
4729,1,0,997,-0.048,-0.07
4737,0,0,1001,-0.02,0.014
4744,-2,1,999,0.064,0.154
4749,0,-2,999,-0.132,-0.042
4755,1,0,999,-0.048,-0.098
4761,0,0,998,0.036,-0.042
4768,1,0,1000,0.008,-0.098
4773,-2,0,1000,-0.02,0.126
